OBJECTID,GRID_ID,pr,Shape__Area,Shape__Length
87,AW-95,898.049133301,0.018423545166435,0.557285974932439
88,AX-95,893.067871094,0.0184238557575469,0.557290143177095
89,AY-95,966.953613281,0.0184241124449258,0.557293643200022
90,AZ-95,938.150390625,0.0184242264966272,0.557294636288476
91,BA-95,917.156616211,0.0184238685381857,0.557289042967969
92,BB-95,945.534606934,0.0184235409197555,0.557285324042358
93,BC-95,866.360168457,0.0184229652595391,0.557277065846513
94,BD-95,864.215209961,0.0184224565971185,0.557271303360262
95,BE-95,922.346069336,0.0184213903758028,0.557255592604832
96,BF-95,987.78137207,0.0184202182246516,0.557239379921256
97,BG-95,1016.682739258,0.0184186201474006,0.557217386289771
98,BH-95,989.825134277,0.0184168619235159,0.557193608952465
99,BI-95,961.698974609,0.0184147641256516,0.557164402405706
100,BJ-95,881.889343262,0.0184125177750758,0.557133004037148
101,BK-95,932.930541992,0.0184098113758716,0.557094495805905
102,BL-95,873.306762695,0.018407162395504,0.557058253847726
103,BM-95,861.722412109,0.0184043232989808,0.557019621823341
104,BN-95,852.615722656,0.0184011886417608,0.556976316991039
105,BO-95,839.758605957,0.0183976995903397,0.5569275950932
106,AK-94,1280.723388672,0.0184415533612281,0.557738187141662
107,AL-94,1338.396972656,0.0184448036138178,0.557783077312545
108,AM-94,1094.241821289,0.0184478819327296,0.557825013406152
109,AN-94,1104.678588867,0.0184508311167519,0.557865615301032
110,AO-94,1224.307739258,0.0184534062028661,0.557901081113499
111,AP-94,1364.622680664,0.0184558402103505,0.557934605631639
112,AQ-94,1298.437744141,0.018457912017297,0.557962888441843
113,AR-94,1116.862792969,0.0184597188505222,0.557988149563122
114,AS-94,864.979736328,0.0184613111472345,0.558010150739994
115,AT-94,774.154296875,0.0184627788586198,0.558031169772353
116,AU-94,754.747436523,0.0184638496916278,0.558045306011223
117,AV-94,770.617492676,0.0184647777629863,0.558057794609001
118,AW-94,851.245178223,0.018465779058559,0.558072914885762
119,AX-94,882.982971191,0.0184662446670814,0.558079011115393
120,AY-94,957.738708496,0.0184663023113956,0.558079043974179
121,AZ-94,973.365844727,0.0184663806151022,0.558080256107929
122,BA-94,881.272949219,0.0184663851029327,0.558079785809076
123,BB-94,881.871887207,0.0184661020442931,0.558076040116137
124,BC-94,875.881225586,0.0184652270620376,0.558062676327049
125,BD-94,906.850585938,0.0184649198581468,0.558060420583403
126,BE-94,979.04473877,0.0184635590428179,0.558040145234951
127,BF-94,1025.750854492,0.0184624488518494,0.558025835256321
128,BG-94,984.208496094,0.0184608598278437,0.558004010345427
129,BH-94,886.495727539,0.0184592916599673,0.557983233149818
130,BI-94,826.023925781,0.0184569798582928,0.557950197331651
131,BJ-94,840.088012695,0.018454697630732,0.557918736459426
132,BK-94,893.1875,0.0184519893275995,0.557880394176676
133,BL-94,895.165161133,0.0184495014957484,0.557846866206143
134,BM-94,922.605529785,0.018446634743988,0.557806930469888
135,BN-94,887.982849121,0.0184436493084146,0.557766162413385
136,BO-94,818.184326172,0.0184402029761515,0.557718712709866
137,BP-94,729.479248047,0.0184367613313228,0.557672609720097
138,BQ-94,698.332092285,0.0184327121076358,0.557614738674505
139,AM-93,1083.924316406,0.0184905961875472,0.558619899370764
140,AN-93,1293.052856445,0.018493505653467,0.558659667074174
141,AO-93,1792.998046875,0.0184960714566529,0.558695249653748
142,AP-93,1797.682373047,0.0184981457997822,0.558723382846427
143,AQ-93,1354.795776367,0.018500192490734,0.558751121017058
144,AR-93,1031.122924805,0.0185023201038348,0.558780991030737
145,AS-93,947.391601562,0.0185039533704128,0.558803419394264
146,AT-93,777.558288574,0.0185053075206412,0.558821531552605
147,AU-93,739.30291748,0.0185066338891602,0.558840339531418
148,AV-93,849.686035156,0.0185075229021123,0.558852674139625
149,AW-93,945.427246094,0.0185083819161349,0.55886511670772
150,AX-93,1006.06427002,0.0185090287043934,0.558873835819036
151,AY-93,995.013671875,0.018509203693462,0.558875287506719
152,AZ-93,895.826049805,0.0185093401725922,0.558877205558857
153,BA-93,833.766479492,0.0185091821760324,0.558874972161234
154,BB-93,841.329956055,0.0185087332257154,0.558868363029192
155,BC-93,832.14654541,0.0185081006856223,0.55885929785874
156,BD-93,843.601623535,0.018507554972846,0.558852649160229
157,BE-93,913.986022949,0.0185062768867468,0.55883350036433
158,BF-93,922.79498291,0.0185051152899227,0.558818514340877
159,BG-93,889.10345459,0.0185035367833706,0.558797458717837
160,BH-93,846.181213379,0.0185018328026239,0.558774966637536
161,BI-93,870.960876465,0.0184995634860634,0.558742990188967
162,BJ-93,846.003967285,0.0184972197093352,0.558710645240492
163,BK-93,863.207092285,0.0184945931097687,0.55867357001514
164,BL-93,853.110290527,0.0184919528933154,0.558637472943863
165,BM-93,851.451599121,0.0184891279464425,0.558598952409845
166,BN-93,798.87677002,0.0184861230565225,0.558558124706986
167,BO-93,743.351196289,0.018482777981955,0.558511468096016
168,BP-93,730.185668945,0.0184791099444119,0.558460865582666
169,BQ-93,757.295349121,0.0184750761681549,0.558405252683891
170,BR-93,848.950012207,0.018470966029227,0.558347805628602
171,AN-92,1290.055053711,0.0185360156073813,0.559452715505861
172,AO-92,1530.537475586,0.0185387954197296,0.559491161804156
173,AU-92,857.06451416,0.0185496706431252,0.559640060292551
174,AV-92,1082.493652344,0.018550684967451,0.559653906829961
175,AW-92,1099.069091797,0.0185514626557293,0.559664904130349
176,AX-92,901.686523438,0.0185518532552607,0.559669728796035
177,AY-92,873.723815918,0.0185522688826865,0.559675660308641
178,AZ-92,842.576171875,0.0185522818688568,0.559675600446498
179,BA-92,810.872802734,0.0185521105756408,0.559673317987821
180,BB-92,846.175292969,0.0185516450463723,0.559666118613365
181,BC-92,871.279418945,0.0185513482515418,0.559663041983479
182,BD-92,854.51940918,0.0185504337302511,0.559650224543938
183,BE-92,845.196838379,0.0185489872268256,0.559628567207119
184,BF-92,799.738891602,0.0185477397728135,0.559611599046
185,BG-92,771.602233887,0.0185463715994203,0.559593904982429
186,BH-92,752.757385254,0.0185447540982882,0.559573086801577
187,BI-92,825.10345459,0.018542570174894,0.559542466603724
188,BJ-92,809.764526367,0.0185403954863466,0.559512519455831
189,BK-92,806.220275879,0.0185377181147401,0.559474971522677
190,BL-92,778.929260254,0.0185349402859583,0.559436780015195
191,BM-92,733.475158691,0.018532018764545,0.559397461877492
192,BN-92,672.352233887,0.0185288347847248,0.559354198347266
193,BO-92,711.413391113,0.0185254364662555,0.559307017703921
194,BP-92,771.498535156,0.0185218332761181,0.559256606012743
195,BQ-92,804.385070801,0.0185180761089541,0.559205041135863
196,BR-92,819.998474121,0.018513753394565,0.559145883687047
197,BS-92,801.635742188,0.0185092394529356,0.559083916386146
198,AU-91,939.053405762,0.0185927714266398,0.560441271528648
199,AV-91,1016.804016113,0.0185939853395212,0.56045841996158
200,AW-91,909.044616699,0.0185946767175409,0.560467475782099
201,AX-91,863.390686035,0.0185951505229411,0.560473923062285
202,AY-91,778.229492188,0.0185955678100598,0.56048003781792
203,AZ-91,799.624816895,0.0185955764414132,0.560479983176681
