OBJECTID,GRID_ID,tas,Shape__Area,Shape__Length
168,BP-93,10.864377975,0.0184791099444119,0.558460865582666
169,BQ-93,10.809566498,0.0184750761681549,0.558405252683891
170,BR-93,10.428201675,0.018470966029227,0.558347805628602
171,AN-92,10.388298988,0.0185360156073813,0.559452715505861
172,AO-92,9.551844597,0.0185387954197296,0.559491161804156
173,AU-92,10.925287247,0.0185496706431252,0.559640060292551
174,AV-92,10.088894844,0.018550684967451,0.559653906829961
175,AW-92,10.206378937,0.0185514626557293,0.559664904130349
176,AX-92,10.448033333,0.0185518532552607,0.559669728796035
177,AY-92,10.150295258,0.0185522688826865,0.559675660308641
178,AZ-92,9.974537849,0.0185522818688568,0.559675600446498
179,BA-92,10.237689018,0.0185521105756408,0.559673317987821
180,BB-92,10.164856911,0.0185516450463723,0.559666118613365
181,BC-92,10.304279327,0.0185513482515418,0.559663041983479
182,BD-92,10.195450783,0.0185504337302511,0.559650224543938
183,BE-92,10.36876297,0.0185489872268256,0.559628567207119
184,BF-92,10.554499626,0.0185477397728135,0.559611599046
185,BG-92,10.526050568,0.0185463715994203,0.559593904982429
186,BH-92,10.626847267,0.0185447540982882,0.559573086801577
187,BI-92,10.22213459,0.018542570174894,0.559542466603724
188,BJ-92,10.26452446,0.0185403954863466,0.559512519455831
189,BK-92,10.484367371,0.0185377181147401,0.559474971522677
190,BL-92,10.317308426,0.0185349402859583,0.559436780015195
191,BM-92,10.408449173,0.018532018764545,0.559397461877492
192,BN-92,10.68965435,0.0185288347847248,0.559354198347266
193,BO-92,10.618600845,0.0185254364662555,0.559307017703921
194,BP-92,10.512900352,0.0185218332761181,0.559256606012743
195,BQ-92,10.593538284,0.0185180761089541,0.559205041135863
196,BR-92,10.462124825,0.018513753394565,0.559145883687047
197,BS-92,10.644562721,0.0185092394529356,0.559083916386146
198,AU-91,10.812476158,0.0185927714266398,0.560441271528648
199,AV-91,10.409714699,0.0185939853395212,0.56045841996158
200,AW-91,10.609292984,0.0185946767175409,0.560467475782099
201,AX-91,10.567248344,0.0185951505229411,0.560473923062285
202,AY-91,10.48343277,0.0185955678100598,0.56048003781792
203,AZ-91,10.12251091,0.0185955764414132,0.560479983176681
204,BA-91,10.001916885,0.0185953909544097,0.560477310730821
205,BB-91,9.924729347,0.0185950595829141,0.560473169226643
206,BC-91,9.952166557,0.0185944022159106,0.56046463329625
207,BD-91,10.23012352,0.01859337115744,0.560450326264944
208,BE-91,10.48347187,0.0185919788714948,0.560429939579729
209,BF-91,10.49465847,0.0185904775465744,0.560408318410779
210,BG-91,10.525337219,0.0185892606853564,0.560392641873234
211,BH-91,10.864237785,0.0185878803692798,0.560374863754777
212,BI-91,11.155428886,0.018585747661227,0.560345545304601
213,BJ-91,11.000683784,0.0185834594752476,0.560315149373108
214,BK-91,10.858869553,0.0185807424305405,0.560276863714654
215,BL-91,10.38071537,0.0185780129691473,0.560239154691171
216,BM-91,10.126651764,0.0185751567164525,0.560200693191692
217,BN-91,10.760619164,0.0185718214178827,0.56015488468375
218,BO-91,10.735762596,0.0185684699395861,0.560109078746667
219,BP-91,11.020588875,0.0185648822672455,0.560059265833231
220,BQ-91,11.06640625,0.0185608115609526,0.560003434664101
221,BR-91,11.121657372,0.0185564828525102,0.559943829331462
222,BS-91,11.036240578,0.0185521196297955,0.559884245544609
223,AQ-90,10.646705627,0.0186299855835443,0.561165617611094
